"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"4wJ5Qq0jBN4ajy7ouZIV1c","APT.","ROSÉ, Bruno Mars","4","-1","0","TW","2025-01-08","89","False","169917","rosie","2024-12-06","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"1z5ebC9238uGoBgzYyvGpQ","toxic till the end","ROSÉ","5","0","0","TW","2025-01-08","88","False","156685","rosie","2024-12-06","0.413","0.604","7","-5.628","1","0.0999","0.0498","0.0","0.114","0.296","167.232","4"
"0Cu8JdYvV9DdmzLzhxaZLH","HOME SWEET HOME (feat. TAEYANG & DAESUNG)","G-DRAGON, TAEYANG, DAESUNG","6","0","0","TW","2025-01-08","78","False","211330","HOME SWEET HOME (feat. TAEYANG & DAESUNG)","2024-11-22","0.633","0.752","10","-4.5","0","0.0726","0.00275","1.45e-06","0.0966","0.408","149.947","4"
"198zDKzyktXRG1PGpidY9h","DRIP","BABYMONSTER","7","0","2","TW","2025-01-08","82","False","180845","DRIP","2024-11-01","0.862","0.687","6","-5.215","1","0.0702","0.065","0.0","0.0862","0.704","119.972","4"
"30slz6D2PtbwDimGJaEVsH","運轉人生 - 影集《華麗計程車行》插曲","邱軍","8","1","8","TW","2025-01-08","63","False","208274","情歌手","2024-02-23","0.532","0.579","0","-5.021","1","0.03","0.466","0.0","0.323","0.362","131.92","3"
"6uPnrBgweGOcwjFL4ItAvV","Whiplash","aespa","9","1","1","TW","2025-01-08","78","False","183226","Whiplash - The 5th Mini Album","2024-10-21","0.856","0.901","8","-2.954","0","0.0455","0.0943","0.0206","0.0802","0.743","126.007","4"
"2SR0alFA2oWYXSoePGTj0V","I’ll Be There","Jin","10","1","-3","TW","2025-01-08","74","False","181677","Happy - :D (Remixes)","2024-11-19","0.538","0.738","10","-2.412","1","0.0445","0.0351","0.0","0.0898","0.736","148.887","4"
"1lcBt7LoEikqYmhUoa2cez","number one girl","ROSÉ","11","-3","0","TW","2025-01-08","82","False","216442","rosie","2024-12-06","0.288","0.377","7","-7.775","1","0.0317","0.288","0.0","0.101","0.135","175.43","3"
"2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars","12","1","0","TW","2025-01-08","100","False","251667","Die With A Smile","2024-08-16","0.521","0.592","6","-7.777","0","0.0304","0.308","0.0","0.122","0.535","157.969","3"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","13","2","1","TW","2025-01-08","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"1NoDTQhJsrd5rnpb6PQthK","離開的一路上","理想混蛋","14","0","-1","TW","2025-01-08","64","False","254961","半熟理想","2023-10-27","0.597","0.506","2","-8.05","1","0.0267","0.0611","0.0","0.119","0.322","126.026","4"
"580BvW3DyUNoYFgQgoD2GI","Hold On","高爾宣 OSN, Patrick Brasca","15","1","0","TW","2025-01-08","64","False","180121","Hold On","2024-06-14","0.592","0.671","9","-5.054","1","0.0393","0.0152","0.0","0.318","0.207","76.037","4"
"7GOIrZTegzVty8mhNhRuA0","IF I SAY, I LOVE YOU","BOYNEXTDOOR","16","19","34","TW","2025-01-08","56","False","161693","IF I SAY, I LOVE YOU","2025-01-06","0.67","0.75","11","-5.278","0","0.106","0.118","0.0","0.448","0.833","138.219","4"
